issn_normalizado,archivo,articulo_id,idioma,titulo,resumen,palabras_clave,extraccion,version_proceso,hash_articulo
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_0,es,-------------------------------------------------------------------------------------------------- ----------,"Contenido de monohidrato de creatina en suplementos dietéticos adquiridos en Manaos, Brasil Introducción: El uso de suplementos dietéticos está ampliamente difundido en la población, y la crea- tina es uno de los productos más vendidos en el mundo. Sin embargo, existen reportes de suplementos que presentan un bajo estándar de calidad en diversos países, incluy endo ejemplos divulgados por los medios de comunicación. Objetivo: Por lo tanto, el objetivo de esta investigación fue evaluar la calidad de los suplementos de creatina comercializados en la ciudad de Manaos, Brasil, mediante el análisis del contenido de creatina presente en los productos y el análisis del etiquetado. Metodología: Para alcanzar estos objetivos, se utilizó un método de cromatografía líquida de alta eficiencia en fase reversa, em- pleando agua ultrapura ajustada a pH=3 con posterior detección ultravioleta, para el análisis del conte- nido de las muestras. Asimismo, se aplicó una lista de verificación basada en la legislación vigente para evaluar las etiquetas. Resultados: Se evaluaron veinte muestras de creatina de diferentes marcas, eti- quetadas como ""100% pura"", adquiridas en el comercio minorista de Manaos, las cuales presentaron inconformidades significativas en sus etiquetas. En cuanto al análisis del contenido de creatina, el 75% de las marcas contenían creatina dentro de los límites aceptable s, mientras que el 25% presentaban in- conformidades en su contenido, y tres de ellas no contenían creatina en su composición. Conclusiones: La inconsistencia del etiquetado frente a la legislación y la cantidad de creatina encontrada en un nú- mero relevante de muestras demuestran la importancia de un monitoreo continuo y la aplicación de sanciones rigurosas por parte de los organismos reguladores a los fabricantes",Creatina; suplementos dietéticos; control de calidad; etiquetado; pureza. --------------------------------------------------------------------------------------------------------------------------- 1,marcadores,1.0.0,cb330cc612e766bb
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_1,es,----------------------------------------------------------------------------------------------------------,"Introducción: El tiomolibdato de amonio (TMA) es un compuesto bioinorgánico con potencial terapéu- tico cuya estabilidad química en medios acuosos y fisiológicos resulta determinante para su aplicación clínica. Propósito: El objetivo de este estudio fue evaluar comparati vamente la estabilidad y la cinética de degradación del TMA en agua destilada y en solución tampón fosfato (PBS, pH 7,4). Metodología: El TMA se sintetizó a partir de heptamolibdato de amonio y sulfuro de amonio, y su comportamiento se monitoreó por espectroscopia UV-Vis mediante curvas de calibración en el intervalo de 220–600 nm, siguiendo una solución 0,006 mg/mL durante 480 h a temperatura ambiente. Resultados: Se identifica- ron tres bandas características a 242, 317 y 468 nm, observándose mayor estabili dad en PBS, donde el perfil espectral se mantuvo hasta 480 h, mientras que en agua se presentaron desplazamientos a partir de 408 h; la vida media fue de 296 h en PBS y 223 h en agua. Estos resultados indican que el PBS actúa como un medio estabilizante de l TMA, probablemente debido al efecto combinado del pH, la fuerza iónica y factores fisicoquímicos propios del medio. Conclusión: Este trabajo aporta evidencia cuantita- tiva sobre la estabilidad del TMA en condiciones fisiológicas simuladas, fortaleciendo s u viabilidad como candidato para aplicaciones biomédicas",tiomolibdato de amonio; estabilidad; cinética de degradación; espectroscopía de UV - Vis; química bioinorgánica. ----------------------------------------------------------------------------------------------------------------------------- ----------- SUMMARY Comparison of the chemical stability of ammonium thiomolybdate in aqueous and buffered -saline media,marcadores,1.0.0,d45871a00e5fe472
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_2,es,nabidiol na Oncologia: Uma revisão integrativa,"Introdução: o câncer é uma das principais causas de m orte em todo mundo e os pacientes oncológicos geralmente apresentam sintomas extremamente debilitantes, o que compromete sua qualidade de vida. O canabidiol é um dos canabinoides mais abundantes na Cannabis sativa, não é psicoativo e possui pro- priedades ansiolíticas e antitumorais que podem auxiliar no tratamento de pacientes oncológicos. Ob- jetivo: investigar na literatura o impacto do canabidiol na qualidade de vida e sobrevida de pacientes oncológicos. Metodologia: trata-se de uma revisão integrativa da literatura, realizada nas bases de da- dos Cochrane Library, LILACS, MEDLINE e SciELO utilizando os descritores cannabidiol AND neo- plasms, considerando ensaios clínicos randomizados e suas extensões publicados entre 2010 e 2025 e disponíveis de forma integral e gratuita. Resultados: foram encontrados 484 registros e após aplicação dos critérios de inclusão e exclusão e remoção dos duplicados, 11 artigos foram selecionados para a leitura de texto completo. Conclusão: o canabidiol pode inibir a dor oncológica em pacientes com câncer avançado, a progressão do glioblastoma, a convulsões relacionadas ao complexo da esclerose tuberosa e ser utilizado como terapia adjuvante em sintomas de náuseas e vômitos. Palavras-chave: Canabinoides; esclerose tuberosa; glioblastoma; neoplasias; qualidade de vida; sobre- vida. ----------------------------------------------------------------------------------------------------------------------------- ----------- SUMMARY Application of Cannabidiol in Oncology: An integrative literature review Introduction: cancer is one of the leading causes of death worldwide and cancer patients often have extremely debilitating symptoms, which compromises their quality of life. Cannabidiol is one of t he most abundant cannabinoids in Cannabis sativa, it is not psychoactive and has anxiolytic and antitumor properties that can help in the treatment of cancer patients. Objective: To investigate in the literature the impact of cannabidiol on the quality of life and survival of cancer patients. Methodology: this is an J.C. Leite de Sá, M.J. Alves-Pereira, M.D. Nascimento-Barbosa, et al. ----------------------------------------------------------------------------------------------------------------------------- ---------- -------------------------------------------------------------------------------------------------------------------------------------- 296 integrative literature review, carried out in the Cochrane Library, LILACS, MEDLINE and SciELO da- tabases using the descriptors cannabidiol AND neoplasms, considering randomized clinical trials and their extensions published between 2010 and 2025 and available in full and free. Results: 484 records were found and after applying the inclusion and exclusion criteria and removal of duplicates, 11 articles were selected for reading the full text. Conclusion: cannabidiol may inhibit cancer pain in patients with ad- vanced cancer, the progression of glioblastoma, seizures related to tuberous sclerosis complex, and be used as adjuvant therapy for symptoms of nausea and vomiting",Cannabinoids; glioblastoma; neoplasms; quality of life; survival; tuberous sclerosis,marcadores,1.0.0,f5d5e6289c5d67f1
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_3,es,using apixaban in treatment dose. Conclusion: The oncological diagnosis brings an increased risk of,"Uso de anticoagulantes orales en pacientes con cáncer Introducción: La presentación clínica de la trombosis asociada al cáncer incluye trombosis venosa pro- funda, embolia pulmonar, coagulación intravascular diseminada (CID) y trombosis arterial. El manejo de la trombosis asociada al cáncer (TAC) es similar al de pacientes sometidos a otros tipos de tratamiento no oncológico con heparina subcutánea de bajo peso molecular (HBPM). Sin embargo, los anticoagu- lantes de acción directa se han incorporado a la práctica médica debido a la dificultad de monitorizar a los pacientes ambulatorios que utilizan antagonistas de la vitamina K. Objetivo: Caracterizar el uso de anticoagulantes orales en pacientes con cáncer atendidos en la consulta externa de dos hospitales espe- cializados en oncología. Metodología: Estudio transversal retrospectivo, realizado entre 2020 y diciem- bre de 2021, mediante el análisis de las historias clínicas de pacientes con cáncer mayores de 18 años que utilizaban anticoagulantes. Resultados y discusión: De los 71 pacientes identificados, 54 (71,87%) justificaron el uso de anticoagulantes debido al diagnóstico de trombosis venosa periférica, 11 (15,5%) debido a tromboembolia pulmonar, 4 (5,6%) debido a alteraciones cardiológicas y 2 (2,8%) desarrollaron tanto tromboembolia pulmonar como periférica. Se en contró que 47 (66,2%) utilizaban rivaroxabán, 22 (31,0%) utilizaban warfarina, 1 (1,4%) utilizaba endoxabán y 1 (1,4%) utilizaba apixabán a dosis tera- péutica. Conclusión: El diagnóstico de cáncer conlleva un mayor riesgo de complicaciones tromboem- bólicas debido al tipo de tratamiento, las características del paciente y el tipo de cáncer desarrollado. Por lo tanto, este mayor riesgo requiere la adición de anticoagulantes a la farmacoterapia","Oncología; anticoagulantes; trombosis. ----------------------------------------------------------------------------------------------------------------------------- ----------- 1. INTRODUÇÃO O câncer está entre as quatro principais causas de morte prematura (antes dos 70 anos de idade) na maio ria dos países. A incidência e a mortalidade por câncer vêm aumentando no mundo, em parte pelo",marcadores,1.0.0,508d74456c4945f6
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_4,es,"levels and lipid peroxidation, measured as thiobarbituric acid reactive substances (TBARS), were quan-","Evaluación del metabolismo oxidativo cerebral y hepático mediante la administración de risperi- dona en un modelo subagudo en ratas (Rattus norvegicus) Objetivos: este estudio tuvo como objetivo evaluar el impacto de la administración subaguda de la risperidona en la actividad de las enzimas antioxidantes y la peroxidación lipídica en ratas . Métodos: se asignaron aleatoriamente un total de quince ratas albinas Holtzman macho a un grupo Control ( n = 5, sin risperidona) y dos grupos de tratamiento ( n = 5 por grupo ) con dosis de 0.4 mg·kg-1·día-1 y 4.0 mg·kg-1·día-1 de risperidona, administradas por vía orogástrica durante 20 días consecutivos . Después del tratamiento, se recolectaron los tejidos cerebral y hepático. Se analizó la actividad de la superóxido- dismutasa (SOD), catalasa (CAT), glutatión peroxidasa (GPx), glucosa -6-fosfato deshidrogenasa (G6PDH) y glutatión S-Transferasa (GST). Se cuantificaron los niveles de glutatión reducido (GSH) y la peroxidación lipídica, medida como sustancias reactivas al ácido tiobarbitúrico (TBARS) . Resultados: los hallazgos indican que, en tejido cerebral, ambas dosis incrementaron significativamente la actividad Cerebral and hepatic oxidative metabolism by administration of risperidone in rats ----------------------------------------------------------------------------------------------------------------------------- ----------------------- -------------------------------------------------------------------------------------------------------------------------------------- 323 de CAT y disminuyeron la relación SOD/CAT y que la dosis alta redujo significativamente los niveles de TBARS. En tejido hepático, se observó un aumento significativo en la actividad de CAT con la dosis alta. Asimismo, ambas dosis incrementaron significativamente la actividad de G6PDH y redujeron los niveles de TBARS. Conclusiones: estos resultados subrayan la influencia de la risperidona en el meta- bolismo oxidativo cerebral y hepático durante la fase subaguda",Risperidona; estrés oxidativo; enzimas antioxidantes; peroxidación lipídica; neurotoxi- cidad; antipsicótico,marcadores,1.0.0,770d574b9b718297
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_5,es,ll survival pathways. Despite,"Ácido cafeico: Una revisión exhaustiva de su uso tradicional y aplicaciones farmacológicas modernas hasta 2025 Antecedentes: El ácido cafeico (AC) es un ácido hidroxicinámico natural ampliamente distribuido en el café, frutas, verduras, miel y propóleo. Estructuralmente, el AC contiene una cadena lateral de ácido acrílico conjugado y una fracción orto-dihidroxifenilo, que en conjunto le confieren una fuerte actividad redox y capacidad de quelación de metales. Amplia evidencia preclínica demuestra que el AC y sus derivados, en particular el éster fenetílico del ácido cafeico (CAPE), ejercen efectos antioxidantes, anti- inflamatorios, antimicrobianos, anticancerígenos, neuroprotectores y cardiometabólicos mediante la modulación del estrés oxidativo, la señalización inflamatoria y la regulación transcripcional. Se ha de- mostrado que el AC suprime la generación de especi es reactivas de oxígeno hasta en un 60 -75 % en modelos celulares e inhibe la peroxidación lipídica de forma dosis -dependiente. Objetivos: Esta revi- sión resume los avances farmacológicos reportados hasta 2025 en relación con el ácido cafeico y sus derivados, con énfasis en mecanismos moleculares, datos cuantitativos de bioactividad, restricciones farmacocinéticas y estrategias de formulación. Se presta especial atención a la eficacia antimicrobiana, la regulación de factores de transcripción sensibles a la oxidación-reducción, incluyendo Nrf2, NF-κB y STAT3, la protección mitocondrial y los enfoques emergentes basados en la química medicinal y la na- notecnología, orientados a mejorar la biodisponibilidad y el rendimiento terapéutico. Métodos: Se realizó una revisión bibliográfica exhaustiva mediante PubMed, Scopus, Web of Science y Google Scho- lar. Los artículos revisados por pares publicados hasta 2025 se examinaron utilizando","relacionadas con el ácido cafeico, CAPE, actividad antioxidante, efectos antimicrobianos, mecanismos moleculares y administración de fármacos. Se priorizaron los estudios in vitro e in vivo que reportaban valores de CI50, porcentaje de inhibición y resultados dependientes de la dosis. Se evaluaron crítica- mente estudios de formulación y computacionales seleccionados que abordaban la solubilida",marcadores,1.0.0,99fcba134b9d14dd
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_6,es,mushroom tyrosin ase kit with kojic acid as a standard. Re-,"Actividades antioxidante y anti-tirosinasa del extracto metanólico de Origanum vulgare L Introducción: Los radicales libres inducidos por la luz solar pueden contribuir a trastornos de la pig- mentación, como la hiperpigmentación. La tirosinasa es una enzima crucial en la melanogénesis, y sus inhibidores naturales están ganando popularidad como agentes hipopigment antes más seguros en la industria cosmética para prevenir la hiperpigmentación y los trastornos de la piel mediante la reducción de la producción de melanina. Objetivo: Este estudio evalúa el contenido fenólico total (CFT), la activi- dad antioxidante y la actividad antitirosinasa de un extracto metanólico de Origanum vulgare L. para K. del Castillo-Ttito & C. del Carpio-Jiménez ----------------------------------------------------------------------------------------------------------------------------- ---------- -------------------------------------------------------------------------------------------------------------------------------------- 384 posibles aplicaciones cosméticas. Metodología: El CFT se midió utilizando el método Folin -Ciocalteu. La actividad antioxidante se evaluó mediante el ensayo de inhibición de radicales DPPH, mientras que la actividad antitirosinasa se determinó utilizando un kit de tirosinasa de hongos usando ácido kójico como estándar. Resultados: Se encontró que el CFT era de 71,37 ± 2,09 mg de equivalentes de ácido gálico (GAE) por gramo. El extracto demostró una actividad antioxidante y antitirosinasa moderada, con valores de CI 50 de 310,12 μg/mL y 351,43 μg/mL, respectivamente. Conclusión: El extracto de oré- gano mostró una moderada inhibición antioxidante y de la tirosinasa, lo que sugiere su posible uso cosmético. Si bien es menos eficaz que los estándares, se requieren más estudios para aislar los com- puestos activos, desarrollar formulaciones en asociación co n otros extractos y evaluar la eficacia y la seguridad en modelos biológicos relevantes",extracto metanólico; pigmentación de la piel; radicales libres; ingrediente natural; pro- ducto blanqueador; inhibidor de la tirosinasa,marcadores,1.0.0,0f4a786831e55d41
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_7,es,igación clínica,"Objetivo: Identificar las intervenciones farmacéuticas de información y educación desarrolladas por el Centro Nacional de Información de Medicamentos orientadas a promover el uso racional de medica- mentos en pacientes en hemodiálisis pertenecientes a una organizació n costarricense. Métodos: Se realizó un estudio descriptivo durante el segundo semestre de 2019 y el primer trimestre de 2020. Se incluyeron 37 pacientes mediante muestreo por conveniencia. Las variables sociodemográficas, clínicas y farmacoterapéuticas se recolectaron mediante entrevista estructurada, y la adherencia terapéutica se evaluó utilizando el test de Morisky–Green–Levine. Se aplicaron estadísticas descriptivas y modelos de regresión lineal para analizar la asociación entre el número de medicament os prescritos y las variables clínicas. Resultados: La edad media de los participantes fue de 42,2 ± 14,2 años, con distribución equi- tativa por sexo. Los problemas de salud más frecuentes fueron hipertensión arterial (83,8%), alteraciones del metabolismo m ineral óseo (81,1%) y anemia (78,4%). La adherencia terapéutica se observó en el 59,5% de los pacientes. El análisis de regresión lineal identificó al número de problemas de salud como el principal predictor del número de medicamentos prescritos. Todas las intervenciones farmacéuticas fueron aceptadas por los pacientes e incluyeron educación sobre el uso de medicamentos y problemas de salud, recomendaciones higiénico -dietéticas, entrega de recursos informativos y elaboración de ho- rarios de medicación. Conclusiones: La falta de adherencia terapéutica constituye un problema relacio- nado con los medicamentos frecuente en una muestra de pacientes en hemodiálisis. Las intervenciones farmacéuticas centradas en información y educación, desarrolladas por el Centro Nacional de Informa- ción de Medicamentos, fueron ampliamente aceptadas y contribuyen a mejorar la seguridad y efectivi- dad del tratamiento, lo que refuerza la relevancia de la integración del farmacéutico en el abordaje mul- tidisciplinario de esta población",diálisis renal; farmacéutico; servicios de información de medicamentos A. Pereira-Céspedes ----------------------------------------------------------------------------------------------------------------------------- ---------- -------------------------------------------------------------------------------------------------------------------------------------- 398 SUMMARY Pharmaceu,marcadores,1.0.0,e3fee1fbd677be8a
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_8,es,Factores que influyen en la adherencia al tratamiento en pacientes,"Objetivo: Analizar los factores que influyen en la adherencia al tratamiento en pacientes con artritis reumatoide, mediante la aplicación del test de Morisky -Green y la evaluación de su asociación con va- riables sociodemográficas utilizando la prueba de chi -cuadrado. Metodología: Se realizó un estudio descriptivo, observacional, prospectivo y de corte transversal en un consultorio privado en la ciudad de Guayaquil, durante tres meses, incluyendo 130 pacientes diagnosticados con artritis reumatoide. Se aplicó el cuestionario validado de Morisky-Green para evaluar la adherencia y se analizó la consistencia interna mediante el coeficiente Kuder-Richardson 20 (KR-20), que resultó ser de 0,921. La asociación con variables sociodemográficas se evaluó mediante la prueba de chi -cuadrado, utilizando el software Ja- movi. Resultados: Solo el 9,2 % de los pacientes presentó adherencia al tratamiento, mientras que el 90,8 % mostró baja adherencia. La mayoría de var iables sociodemográficas (edad, sexo, estado civil, nivel educativo, entre otras) no mostraron relación estadísticamente relevante con la adherencia. Sin em- bargo, los ingresos mensuales sí presentaron una asociación significativa (p < 0,05). Conclusiones: La adherencia al tratamiento en pacientes con artritis reumatoide fue baja. Los ingresos mensuales se iden- tificaron como un factor sociodemográfico con influencia significativa en la adherencia. Estos resultados destacan la importancia de considerar el contexto económico del paciente al desarrollar estrategias para mejorar el cumplimiento terapéutico y los resultados clínicos",adherencia; artritis reumatoide ; test de Morisky -Green; variables sociodemográficas ; prueba de chi-cuadrado. ----------------------------------------------------------------------------------------------------------------------------- --------- SUMMARY Factors influencing treatment adherence in patients with rheumatoid arthritis seen in private prac- tice: an analysis using the Morisk,marcadores,1.0.0,ea7c541ea0061a58
0034-7418,RCCQF -55-2 -May-Aug -2026 -Book.pdf,RCCQF -55-2 -May-Aug -2026 -Book_9,es,"ech1a*, Miao Ling Shih 1b, Martha Díaz-Flores2c & Mayred Yeselin","Introducción: En México, la ausencia de regulación sobre las denominaciones de grado en la profesión farmacéutica ha generado hipernominalidad y falta de mínimos curriculares obligatorios. Esta situación impacta en la construcción de la identidad profesional y en la delimitación de jurisdicciones dentro de los ecosistemas laborales. Objetivo: Analizar la identidad profesional del farmacéutico en México y caracterizar los ecosistemas laborales donde se inserta, mediante la comparación entre el Licenciado en Farmacia (LF) y el Químico Farmacéutico Biólogo (QFB). Metodología: Estudio cualitativo e interpre- tativo, sustentado en la fenomenología y el interaccionismo simbólico. Se realizaron entrevistas semies- tructuradas a doce egresados de cinco universidades del estado de Puebla, insertos en cuatro ecosiste- mas laborales: farmacia asistencial, laboratorio clínico, industria farmacéutica e investigación. El análisis se desarrolló mediante una matriz categorial basada en bienes internos y externos, competencia técnica, jurisdicción profesional, identidad profesional y ecosistemas laborales. Resultados: Se identificaron di- ferencias sustantivas en la constr ucción identitaria entre el LF y el QFB. El LF muestra una identidad orientada a la farmacia asistencial y al medicamento como eje central, con mayor coherencia entre for- mación y ejercicio profesional. El QFB evidencia rasgos de profesión híbrida, caracterizada por amplitud formativa, identidad fragmentada y jurisdicciones no monopolizadas. La denominación genérica “quí- mico” contribuye a la ambigüedad social. Conclusiones: La identidad profesional farmacéutica en Mé- xico no es homogénea, sino diferenciada se gún el grado académico y el ecosistema laboral. Los hallaz- gos cuestionan la clasificación estatal homogénea de los grados farmacéuticos y evidencian la necesidad de fortalecer la coherencia entre formación, regulación y ejercicio profesional","Identidad profesional; ecosistemas laborales; farmacéutico; sociología de las profesio- nes. ----------------------------------------------------------------------------------------------------------------------------- ----------- SUMMARY Professional identity and labor ecosystems of the pharmacist in Mexico H.E. González-Pech, M.L. Shih, M. Díaz-Flores & M.Y. León-García",marcadores,1.0.0,30e3d04f054258aa
